Country,Young Social Networking Users (%)
Iceland,97.214
Hungary,96.525
Sweden,96.02600000000001
Portugal,95.309
Norway,94.714
Denmark,94.492
Latvia,93.91799999999999
Finland,93.68700000000001
Slovenia,93.166
United Kingdom,92.729
Netherlands,92.573
Ireland,92.26100000000001
Estonia,92.12299999999999
Luxembourg,91.991
Czechia,91.911
Spain,91.306
Germany,90.374
Slovakia,90.241
Belgium,88.963
Turkey,88.09200000000001
Chile,87.18299999999999
Austria,86.958
Italy,86.50299999999999
South Korea,86.286
Poland,85.999
Greece,83.186
Switzerland,83.17299999999999
France,77.234
Mexico,53.382
