,Country,Young Social Media Users (%)
0,Iceland,97.214
1,Hungary,96.525
2,Sweden,96.02600000000001
3,Portugal,95.309
4,Norway,94.714
5,Denmark,94.492
6,Latvia,93.91799999999999
7,Finland,93.68700000000001
8,Slovenia,93.166
9,United Kingdom,92.729
10,Netherlands,92.573
11,Ireland,92.26100000000001
12,Estonia,92.12299999999999
13,Luxembourg,91.991
14,Czechia,91.911
15,Spain,91.306
16,Germany,90.374
17,Slovakia,90.241
18,Belgium,88.963
19,Turkey,88.09200000000001
20,Chile,87.18299999999999
21,Austria,86.958
22,Italy,86.50299999999999
23,South Korea,86.286
24,Poland,85.999
25,Greece,83.186
26,Switzerland,83.17299999999999
27,France,77.234
28,Mexico,53.382
